nepcoh,nlayer,lr,reg,dropout,verbose,residual,time,mean,std
200,2,0.00061271,0.024133341,0.1,FALSE,TRUE,74.58266592,0.773500055,0.000499994
200,2,0.001439389,0.018985286,0.5,FALSE,TRUE,57.42030191,0.792500019,0.002499998
200,4,0.016036594,0.011673538,0.3,FALSE,TRUE,102.4153461,0.785000056,0.011999995
200,5,0.00137992,0.104642213,0.2,FALSE,TRUE,125.7099011,0.503500015,0.074499995
200,5,0.001073304,0.175521036,0.1,FALSE,TRUE,125.9356716,0.702500015,0.087500006
200,4,0.003179519,0.146944302,0.1,FALSE,TRUE,103.6053669,0.780000061,0.002000004
200,5,0.010007014,0.023550648,0.2,FALSE,TRUE,125.8300161,0.736500025,0.038500011
200,4,0.003843726,0.050935753,0.1,FALSE,TRUE,103.5346217,0.789500028,0.009499997
200,5,0.002654734,0.434474855,0.1,FALSE,TRUE,125.9524679,0.653500021,0.1505
200,4,0.003757595,0.063974819,0.3,FALSE,TRUE,103.6215189,0.67900002,0.097000003
200,5,0.006861592,0.037735612,0.2,FALSE,TRUE,125.9036362,0.755000055,0.027999997
200,3,0.004239212,0.025738692,0.2,FALSE,TRUE,81.01757526,0.790000051,0.002999991
200,5,0.001877547,0.029775502,0.1,FALSE,TRUE,125.9299462,0.793000042,0.000999987
200,3,0.002698119,0.111991192,0.3,FALSE,TRUE,80.90908647,0.77700004,0.006999999
200,3,0.002940352,0.015961255,0.4,FALSE,TRUE,80.97846365,0.78550005,0.002499998
200,5,0.00073671,0.26756168,0.5,FALSE,TRUE,125.7278628,0.328000024,0.08600001
200,4,0.006781284,0.030932896,0.4,FALSE,TRUE,103.4963498,0.689500034,0.087499976
200,4,0.002503414,0.18383727,0.2,FALSE,TRUE,103.4829838,0.550500005,0.022500008
200,3,0.000566354,0.063738943,0.5,FALSE,TRUE,80.99467087,0.424000025,0.006999999
200,4,0.006564025,0.053888924,0.5,FALSE,TRUE,103.4756384,0.471000016,0.023000002
200,3,0.002907773,0.080074121,0.1,FALSE,TRUE,80.91979766,0.790500015,0.004500002
200,3,0.019374627,0.116910279,0.4,FALSE,TRUE,80.89319849,0.442000017,0.00500001
200,2,0.00728325,0.108284279,0.4,FALSE,TRUE,58.58214545,0.774000049,0.013000011
200,4,0.00241002,0.02837955,0.3,FALSE,TRUE,103.51893,0.788000047,0.004000008
200,3,0.00087196,0.230038067,0.4,FALSE,TRUE,81.04174399,0.443000033,0.028999999
200,4,0.014152257,0.08227988,0.5,FALSE,TRUE,103.3449457,0.46950002,0.020499989
200,5,0.001561697,0.075054663,0.3,FALSE,TRUE,125.9376256,0.455000028,0.079000011
200,4,0.001038641,0.011426081,0.1,FALSE,TRUE,103.4866226,0.774500012,0.011500001
200,4,0.009419875,0.011389673,0.1,FALSE,TRUE,103.4188778,0.782000035,0.024000019
200,3,0.004840872,0.232161897,0.3,FALSE,TRUE,80.84012103,0.484000012,0.066
200,2,0.007254154,0.010860756,0.3,FALSE,TRUE,58.52833295,0.776500016,0.000499994
200,3,0.001199766,0.055229743,0.3,FALSE,TRUE,80.94342852,0.762500018,0.022500008
200,2,0.00145787,0.084154002,0.5,FALSE,TRUE,58.47543716,0.713500023,0.053499997
200,3,0.004775865,0.267490267,0.2,FALSE,TRUE,80.91329694,0.788500041,0.00850001
200,3,0.014726413,0.014713001,0.2,FALSE,TRUE,80.93826556,0.770000041,0
200,2,0.001681774,0.150272512,0.3,FALSE,TRUE,58.45311022,0.703000039,0.025999993
200,2,0.017680851,0.027069127,0.1,FALSE,TRUE,58.43242502,0.783500046,0.005499989
200,4,0.005812082,0.248368752,0.3,FALSE,TRUE,103.3160763,0.422000021,0.009000003
200,3,0.000845129,0.246907733,0.1,FALSE,TRUE,80.95019865,0.755500019,0.0255
200,4,0.018193308,0.144026962,0.3,FALSE,TRUE,103.309267,0.422000021,0.002999991
200,2,0.002819649,0.075420989,0.2,FALSE,TRUE,58.44428825,0.786000013,0
200,2,0.006383728,0.012330115,0.3,FALSE,TRUE,58.44736028,0.785000056,0.002999991
200,4,0.000685965,0.148344704,0.1,FALSE,TRUE,103.4668787,0.689500034,0.042500019
200,5,0.00711961,0.298642887,0.2,FALSE,TRUE,125.6314058,0.42050001,0.016499996
200,3,0.000555644,0.06273359,0.2,FALSE,TRUE,81.01273847,0.697000027,0.050999999
200,3,0.011890414,0.031299641,0.1,FALSE,TRUE,81.00003624,0.796000034,0.002000004
200,4,0.006054157,0.14886271,0.1,FALSE,TRUE,103.6150079,0.710500032,0.098499984
200,4,0.004471152,0.021920555,0.1,FALSE,TRUE,103.6006012,0.780000031,0.005999982
200,2,0.001469964,0.051841132,0.3,FALSE,TRUE,58.57727671,0.781000048,0.001000017
200,5,0.000712491,0.043905996,0.3,FALSE,TRUE,126.0686862,0.293500014,0.107500009200,2,0.009287843789158293,0.17735286085065233,0.1,False,True,58.519405126571655,0.6735000312328339,0.0794999897480011
200,3,0.0009646507715996889,0.04394133665458225,0.4,False,True,80.8559787273407,0.7430000305175781,0.03799998760223389
200,4,0.0017250729768405171,0.07735200274119163,0.4,False,True,103.30310869216919,0.5530000329017639,0.0009999871253967285
200,2,0.005769143456257232,0.09819357303193713,0.4,False,True,58.43758726119995,0.7910000383853912,0.005000025033950806
200,3,0.0041927840826702385,0.03835318140671301,0.30000000000000004,False,True,80.91052317619324,0.7755000591278076,0.002499997615814209
200,4,0.002980186183564769,0.018401087033801476,0.4,False,True,103.43848085403442,0.7760000228881836,0.0040000081062316895
200,3,0.0005342566730829104,0.2010917836119196,0.5,False,True,80.80682682991028,0.4125000238418579,0.0004999935626983643
200,2,0.010793790913445105,0.0611581806518518,0.2,False,True,58.41471600532532,0.780500054359436,0.011500000953674316
200,5,0.0008394430287949472,0.02510797193615758,0.5,False,True,125.72487616539001,0.44600002467632294,0.0010000020265579224
200,3,0.0007517979194839582,0.01279039897359648,0.30000000000000004,False,True,80.91316318511963,0.7760000228881836,0.013000011444091797
200,5,0.01579677130419292,0.05101534357248421,0.5,False,True,125.69559240341187,0.49150002002716064,0.005499988794326782
200,5,0.0005405677764486125,0.023759321433781712,0.1,False,True,125.92064213752747,0.773000031709671,0.017999976873397827
200,4,0.018636305788748003,0.03707557090088478,0.4,False,True,103.32593965530396,0.5450000166893005,0.008000016212463379
200,5,0.00994538010491375,0.1739111659311163,0.30000000000000004,False,True,125.67885327339172,0.4390000253915787,0.00599999725818634
200,2,0.002713600790153927,0.02550889161564668,0.2,False,True,58.454564332962036,0.8005000352859497,0.000500023365020752
200,4,0.001314392214664468,0.017303150753840264,0.5,False,True,103.32348966598511,0.5820000171661377,0.0559999942779541
200,5,0.0060599602416498725,0.4789805980494748,0.2,False,True,125.64623641967773,0.4280000180006027,0.021000012755393982
200,5,0.006038144076558444,0.01543704745991233,0.30000000000000004,False,True,125.81916522979736,0.7820000350475311,0.003999978303909302
200,4,0.005811071405998831,0.05261053433385518,0.4,False,True,103.263747215271,0.4650000333786011,0.05500000715255737
200,2,0.00449686838185117,0.49137700321775185,0.2,False,True,58.50527501106262,0.5610000193119049,0.09400001168251038
200,2,0.0015014673318242727,0.12038665402756756,0.1,False,True,58.628416776657104,0.7890000641345978,0.006999999284744263
200,5,0.001343875700017173,0.4753847099647841,0.1,False,True,125.96270751953125,0.528500035405159,0.10650001466274261
200,3,0.009050756123656186,0.036045428708230666,0.4,False,True,81.11468577384949,0.773000031709671,0.01199999451637268
200,2,0.011668537863910726,0.016046368195458457,0.4,False,True,58.58228421211243,0.7805000245571136,0.004500001668930054
200,4,0.019759589191359332,0.024227546992271122,0.4,False,True,103.62025356292725,0.7020000219345093,0.022000014781951904
200,3,0.0008381248794444029,0.018637860347382476,0.2,False,True,81.16124415397644,0.7880000174045563,0.011000007390975952
200,3,0.004503218716686651,0.2688475790301319,0.4,False,True,81.06642079353333,0.41750001907348633,0.013500005006790161
200,2,0.001126846245512001,0.021588953264055223,0.2,False,True,58.812772035598755,0.7780000269412994,0.0020000040531158447
200,3,0.00200175366402302,0.07983949482888596,0.5,False,True,81.08051562309265,0.5500000417232513,0.007999986410140991
200,3,0.0011481208232716467,0.03631154382815702,0.1,False,True,81.12764835357666,0.7880000472068787,0.008000016212463379
200,2,0.012168554918549129,0.010860604670627187,0.5,False,True,58.513813495635986,0.7860000431537628,0.01199999451637268
200,4,0.00227929947715437,0.4463260275927851,0.4,False,True,103.44169163703918,0.40050001442432404,0.006499990820884705
200,4,0.0009955542729469594,0.016651185428463607,0.1,False,True,103.47658586502075,0.784000039100647,0.0
200,4,0.004099650891652202,0.01545921365038966,0.4,False,True,103.35627341270447,0.7775000333786011,0.0034999847412109375
200,2,0.001081623288138991,0.010056092025829548,0.30000000000000004,False,True,58.519641160964966,0.792000025510788,0.007999986410140991
200,2,0.003371752906030399,0.02793057931480009,0.1,False,True,58.49788784980774,0.7835000157356262,0.0065000057220458984
200,4,0.005778076113224126,0.19842207003746867,0.1,False,True,103.40256142616272,0.7250000238418579,0.046000003814697266
200,2,0.004128195072635646,0.3690669717415092,0.2,False,True,58.49641180038452,0.6645000278949738,0.11050000786781311
200,2,0.004698816231114534,0.4268120502241962,0.30000000000000004,False,True,58.42753720283508,0.46000002324581146,0.02199999988079071
200,5,0.015044294518589258,0.013356504955719304,0.2,False,True,125.81950974464417,0.7790000438690186,0.003000020980834961
200,3,0.016641557831311046,0.013733189493508139,0.30000000000000004,False,True,80.96029019355774,0.7825000584125519,0.0004999935626983643
200,5,0.014196982254897184,0.01203681403925588,0.2,False,True,125.7857973575592,0.749500036239624,0.02249997854232788
200,3,0.0011012233091358592,0.018013016628524465,0.30000000000000004,False,True,80.91499710083008,0.7845000624656677,0.002499997615814209
200,5,0.014806140490242673,0.029200046748909886,0.2,False,True,125.76907753944397,0.6235000193119049,0.008500009775161743
200,3,0.0034348530657541164,0.03031143983546489,0.30000000000000004,False,True,80.97750854492188,0.7950000464916229,0.0029999911785125732
200,3,0.0012521172316586856,0.07264649267661911,0.1,False,True,81.03510284423828,0.7855000495910645,0.007499992847442627
200,3,0.0009122221691298016,0.01886829324280904,0.4,False,True,81.02964520454407,0.7795000374317169,0.007500022649765015
200,3,0.0006570491497867537,0.010327850663649614,0.2,False,True,80.97839069366455,0.776000052690506,0.0029999911785125732
200,5,0.0013503094032404044,0.012629648050427947,0.30000000000000004,False,True,125.91890907287598,0.7865000367164612,0.00950002670288086
200,2,0.006833528434223381,0.1173032329265767,0.4,False,True,58.45413517951965,0.7595000267028809,0.00550001859664917
200,5,0.0010640859430990782,0.01841176083521374,0.1,False,True,125.86976671218872,0.7775000333786011,0.002499997615814209
200,2,0.006202426365773464,0.024951802733905407,0.5,False,True,58.451475620269775,0.7755000591278076,0.011500000953674316
200,2,0.0008178234703414025,0.48474773061257687,0.4,False,True,58.53739333152771,0.3930000215768814,0.09199999272823334
200,2,0.001639876784050578,0.09761829755813453,0.30000000000000004,False,True,58.47597527503967,0.7755000293254852,0.007500022649765015
200,3,0.0010416716252273943,0.012536932796064064,0.4,False,True,81.00651550292969,0.7755000293254852,0.013500005006790161
200,2,0.0007377472041541868,0.012136904262714542,0.1,False,True,58.61611366271973,0.7770000398159027,0.0020000040531158447
200,2,0.005032087478013343,0.10419729824243518,0.2,False,True,58.47714805603027,0.7795000374317169,0.003500014543533325
200,5,0.003046964672005738,0.0668838459737231,0.2,False,True,125.82088208198547,0.6865000426769257,0.09150001406669617
200,3,0.00643015026923616,0.019855599389237446,0.30000000000000004,False,True,80.911128282547,0.7820000350475311,0.010000020265579224
200,5,0.015595756047456938,0.29324002476820626,0.5,False,True,125.7390353679657,0.4115000069141388,0.004500001668930054
200,4,0.0007329096115116111,0.46393645099202574,0.2,False,True,103.39902234077454,0.39500001072883606,0.020999997854232788
200,4,0.004131383121904589,0.07947076682048762,0.4,False,True,103.38630437850952,0.643500030040741,0.09450000524520874
200,3,0.009507303741216248,0.017362953225504584,0.1,False,True,80.927805185318,0.7865000367164612,0.004499971866607666
200,5,0.0007764376428631455,0.0424752572864549,0.1,False,True,125.84242606163025,0.7925000190734863,0.002499997615814209
200,2,0.0036241922455102246,0.017763193958099027,0.30000000000000004,False,True,58.41790437698364,0.7860000431537628,0.01199999451637268
200,4,0.002185187985643831,0.20535626805937152,0.30000000000000004,False,True,103.2508978843689,0.4025000184774399,0.00449998676776886
200,3,0.01605582241723421,0.1590890520255071,0.30000000000000004,False,True,80.73351311683655,0.4585000276565552,0.03949999809265137
200,3,0.010507530788890402,0.06791008331187187,0.5,False,True,80.73387241363525,0.5415000319480896,0.025499999523162842
200,3,0.0015413430855347671,0.012516548861748194,0.5,False,True,80.8158438205719,0.7670000493526459,0.0020000040531158447
200,4,0.009325244282401314,0.013710060313362868,0.30000000000000004,False,True,103.30565786361694,0.7905000448226929,0.007499992847442627
200,5,0.005246803858122336,0.08717444429576413,0.5,False,True,125.53765988349915,0.47350001335144043,0.06650000810623169
200,3,0.012572394416839364,0.3361247846262123,0.4,False,True,80.72735905647278,0.42750002443790436,0.02850000560283661
200,5,0.00493571114058542,0.3947816092877243,0.5,False,True,125.52553224563599,0.4130000174045563,0.0
200,2,0.0006238334536472075,0.262309426482265,0.30000000000000004,False,True,58.3608980178833,0.42400000989437103,0.0429999977350235
200,2,0.0005867804251179463,0.13409502666596093,0.30000000000000004,False,True,58.44563603401184,0.5410000085830688,0.041999995708465576
200,3,0.0005684745358897761,0.10536052716067024,0.5,False,True,80.76609206199646,0.4490000158548355,0.012999996542930603
200,3,0.001732654348746313,0.16581142833600304,0.5,False,True,80.76150226593018,0.40700002014636993,0.00599999725818634
200,2,0.001200734149058472,0.014797567601075468,0.4,False,True,58.404637575149536,0.784000039100647,0.010999977588653564
200,2,0.006794021979439084,0.1693085232849721,0.30000000000000004,False,True,58.41190576553345,0.7680000364780426,0.00899997353553772
200,4,0.0007034360646658074,0.06771719418687769,0.4,False,True,103.19675493240356,0.5525000393390656,0.12350001931190491
200,5,0.0005158361139864662,0.14026352256352667,0.5,False,True,125.54942417144775,0.41050001978874207,0.005499988794326782
300,2,0.001,0.01,0.0,False,True,433.8995270729065,0.7741000294685364,0.011665764090013464
300,2,0.001,0.01,0.0,False,False,431.931040763855,0.7790000319480896,0.009705664472250533
300,2,0.001,0.01,0.05,False,True,433.4985873699188,0.7788000404834747,0.009558247793392323
300,2,0.001,0.01,0.05,False,False,432.3999569416046,0.772100031375885,0.009082401562319582
300,2,0.001,0.01,0.1,False,True,433.2795011997223,0.7736000299453736,0.008077127082043521
300,2,0.001,0.01,0.1,False,False,432.36829018592834,0.7796000301837921,0.006621180758586358
300,2,0.001,0.01,0.15000000000000002,False,True,433.5221793651581,0.7788000345230103,0.009130173386670591
300,2,0.001,0.01,0.15000000000000002,False,False,432.36499786376953,0.775700032711029,0.006870957975118131
300,2,0.001,0.01,0.2,False,True,433.419828414917,0.7811000287532807,0.006394528424580851
300,2,0.001,0.01,0.2,False,False,432.2892835140228,0.7839000344276428,0.010153335277947475
300,2,0.001,0.02,0.0,False,True,433.2999095916748,0.7778000295162201,0.00630555511066737
300,2,0.001,0.02,0.0,False,False,432.08221888542175,0.7743000328540802,0.014325149519722004
300,2,0.001,0.02,0.05,False,True,433.51024556159973,0.7790000319480896,0.013512962296007288
300,2,0.001,0.02,0.05,False,False,432.61522936820984,0.7771000385284423,0.008478807079258837
300,2,0.001,0.02,0.1,False,True,433.63126945495605,0.7851000428199768,0.008043011587745995
300,2,0.001,0.02,0.1,False,False,432.51015877723694,0.7816000282764435,0.006468388176743489
300,2,0.001,0.02,0.15000000000000002,False,True,433.5951073169708,0.7860000371932984,0.008988887639440174
300,2,0.001,0.02,0.15000000000000002,False,False,432.9535593986511,0.7839000403881073,0.00872296412143573
300,2,0.001,0.02,0.2,False,True,433.6933331489563,0.784900039434433,0.006818352137511462
300,2,0.001,0.02,0.2,False,False,432.763632774353,0.786400043964386,0.008499401619007708
300,2,0.001,0.03,0.0,False,True,433.64088320732117,0.7743000328540802,0.011815662541577164
300,2,0.001,0.03,0.0,False,False,431.8666548728943,0.7770000338554383,0.004494436194160452
300,2,0.001,0.03,0.05,False,True,433.51868534088135,0.7868000388145446,0.006569620708137022
300,2,0.001,0.03,0.05,False,False,432.5576322078705,0.779500025510788,0.008581962621990003
300,2,0.001,0.03,0.1,False,True,433.615434885025,0.7794000267982483,0.007939779777846176
300,2,0.001,0.03,0.1,False,False,432.5595769882202,0.7759000420570373,0.007462575686552069
300,2,0.001,0.03,0.15000000000000002,False,True,433.639936208725,0.7859000384807586,0.00864232597014324
300,2,0.001,0.03,0.15000000000000002,False,False,432.85796570777893,0.7821000397205353,0.006220132285782693
300,2,0.001,0.03,0.2,False,True,433.51951575279236,0.7875000476837158,0.007526614783289285
300,2,0.001,0.03,0.2,False,False,432.594309091568,0.785800039768219,0.013474412969010282
