nlayer,dropout,time,accuracy_mean,accuracy_std
1,0.3,21.148030757904053,0.765333354473114,0.009177270403149074
1,0.35,13.265117406845093,0.7630000114440918,0.01710750595869466
1,0.4,13.574803590774536,0.7660000324249268,0.004966574874604173
1,0.45,24.050015687942505,0.765333374341329,0.00740870474881955
1,0.5,17.67048406600952,0.7633333603541056,0.00899382117771677
1,0.55,13.726961135864258,0.7570000290870667,0.0064807400362293
1,0.6000000000000001,14.769234418869019,0.7610000371932983,0.0064807400362293
2,0.3,29.369938611984253,0.7820000449816386,0.006377031713160472
2,0.35,32.506710052490234,0.7863333821296692,0.0024944326929822722
2,0.4,29.323810577392578,0.7793333530426025,0.012498884231787254
2,0.45,36.955519914627075,0.7863333622614542,0.00449692826162795
2,0.5,39.65610313415527,0.7843333681424459,0.006944230092454459
