reg,dropout,time,accuracy_mean,accuracy_std
0.1,0.1,426.02675223350525,0.7723333636919657,0.01189770708621231
0.1,0.2,422.8457417488098,0.6010000308354696,0.0908074979968842
0.1,0.3,421.7961423397064,0.4090000092983246,0.0028284328567175876
0.1,0.4,421.34478211402893,0.40700000524520874,0.0
0.1,0.5,423.1174111366272,0.41100001335144043,0.0028284328567175876
0.07,0.1,423.0029647350311,0.724333385626475,0.05920211599172739
0.07,0.2,421.92627024650574,0.7333333690961202,0.029847775655689298
0.07,0.3,420.2657687664032,0.512333353360494,0.14896384947480287
