lr,reg,dropout,init_k,ndim,nlayer,time,accuracy_mean,accuracy_std
0.00047510641256050284,0.726345424112542,0.1,4,64,1,12.9268798828125,0.40833335121472675,0.004189945101774109
0.000214569675509611,0.0090445694811594,0.1,8,128,3,127.78186297416687,0.35733334223429364,0.04028510080954742
0.00017964628269999825,0.007058010825455268,0.1,16,128,1,54.21359848976135,0.3750000198682149,0.02416608501479923
0.15622969228919803,0.00016611523034274668,0.4,16,256,1,50.54389548301697,0.4890000323454539,0.01576917750822627
0.06323740685156054,0.33656689882471563,0.05,32,128,3,92.40676403045654,0.4103333552678426,0.006847542179038502
0.4859415225455022,0.00015691746533582292,0.4,16,64,1,19.173261404037476,0.4233333468437195,0.02309883320748654
0.0015207105981819092,0.009764184909014885,0.25,8,256,4,65.00036525726318,0.35600001613299054,0.03159114290090402
0.0004224796349570223,0.02757480286081236,0.45,16,256,1,13.475983142852783,0.37166667977968854,0.012970052491828669
0.2230258938737422,0.0001881404741937661,0.1,8,256,6,70.15060567855835,0.4266666769981384,0.014884747400493371
0.005888553417814714,0.0037458641440377373,0.35000000000000003,4,64,1,16.506463766098022,0.3826666871706645,0.026537184649739354
0.013117261556850909,1.2888471772224155e-05,0.30000000000000004,32,256,6,86.76554036140442,0.37033335367838544,0.022291007945468656
0.011703249168822915,0.0013344738148654046,0.1,16,256,6,120.82633852958679,0.42166668176651,0.006182410933456794
0.0002785666864255461,0.23221160734302188,0.4,4,256,3,32.747907876968384,0.39233335852622986,0.012498884231787254
0.0011103744668927717,0.04083268523830769,0.30000000000000004,16,256,1,24.521265268325806,0.39233335852622986,0.016519354338346167
0.08395966261566572,1.1500826856289687e-05,0.25,4,64,5,53.17179465293884,0.4036666850248973,0.00047139845164484613
0.00013647886393596852,0.00636531086227769,0.45,4,64,3,52.779459953308105,0.26500001053015393,0.0363409783128385
0.004838775757775091,0.35853709861540384,0.1,32,128,6,48.95701599121094,0.36533334851264954,0.020499318633607825
0.0016351764382046743,0.0010201522350218616,0.45,16,128,6,75.62251210212708,0.3830000162124634,0.024752101873165032
0.00012350884964240194,0.0004228920091298269,0.1,4,128,5,78.15595984458923,0.32500001788139343,0.06197312198643921
0.0007433123084240497,0.00014743475634371712,0.30000000000000004,32,64,3,41.83590483665466,0.3686666786670685,0.02124984288874533
0.0003425695406549515,0.0013961549716466465,0.35000000000000003,32,128,2,77.85790586471558,0.3633333444595337,0.03592894212783282
0.06616784446382301,5.1117973056713315e-05,0.5,8,128,1,11.66031551361084,0.4113333523273468,0.011085530044252933
0.0005943451524044185,7.582463596108121e-05,0.25,8,128,5,83.7415201663971,0.3570000231266022,0.040422771843515636
