nepoch,nlayer,lr,reg,dropout,verbose,time,accuracy_mean,accuracy_std
300,2,1.90E-05,0.00380046,0.5,FALSE,300.6289041,0.411500007,0.004500002
300,5,0.000198088,0.264236892,0.4,FALSE,724.0714841,0.413000017,0
300,4,0.00154284,0.012180267,0.3,FALSE,581.924433,0.761500061,0.016499996
300,3,0.001316314,0.024569762,0.2,FALSE,440.5841169,0.772500038,0.014500022
300,2,3.47E-05,0.006772414,0.5,FALSE,298.7708113,0.464000031,0.046000019
300,4,1.87E-05,0.031993749,0.3,FALSE,584.2809052,0.407000005,0
300,1,0.000256381,0.003484401,0.3,FALSE,167.9620473,0.736000031,0.01000002
300,3,0.001300339,0.204048156,0.5,FALSE,441.8410337,0.410000011,0.003000006
300,1,0.000378107,0.227003852,0.4,FALSE,168.139185,0.525500014,0.112499997
300,4,0.00046854,0.027571984,0.5,FALSE,578.919121,0.410000011,0.003000006
300,1,0.002159415,0.008849384,0.3,FALSE,167.7488046,0.761000037,0.000999987
300,1,0.002229654,0.157164507,0.2,FALSE,170.0732174,0.764500022,0.007499993
300,2,4.30E-05,0.042110826,0.4,FALSE,301.9972305,0.386000022,0.024999991
300,2,8.67E-05,0.003704122,0.3,FALSE,301.7751136,0.726000041,0.024000019
300,4,0.005285459,0.021650553,0.3,FALSE,582.6134436,0.410000011,0.003000006
300,5,0.000216364,0.01772829,0.1,FALSE,728.1664796,0.744500011,0.013500005
300,2,0.001875982,0.061595351,0.3,FALSE,300.8821435,0.603000015,0.19600001
300,2,0.005816808,0.003321297,0.5,FALSE,300.5457351,0.776000023,0.004000008
300,4,2.37E-05,0.009005027,0.5,FALSE,584.1474609,0.280000009,0.126999997
300,2,0.004007158,0.038398246,0.4,FALSE,300.0853884,0.726500034,0.051500022
300,3,0.00346672,0.002657051,0.3,FALSE,443.4625556,0.771500021,0.003500015
300,3,0.004525898,0.001629504,0.3,FALSE,442.5874822,0.780000031,0.008000016
300,2,7.60E-05,0.002119029,0.5,FALSE,299.5295277,0.634000033,0.044
300,3,1.49E-05,0.002499347,0.3,FALSE,440.5530832,0.381000012,0.032000005
300,4,6.94E-05,0.011050843,0.1,FALSE,582.9969742,0.67900002,0.02700001
300,5,0.000192259,0.017186759,0.3,FALSE,722.7509122,0.614500016,0.063500017
300,4,0.000126884,0.008279855,0.4,FALSE,582.6854565,0.384500012,0.028500006
300,4,0.000594201,0.004111942,0.2,FALSE,582.9365761,0.76700002,0.013999999
300,3,2.79E-05,0.019753838,0.1,FALSE,440.5729322,0.664500028,0.009499997
300,4,0.000374065,0.212553904,0.4,FALSE,582.9974473,0.421500012,0.008499995
300,3,0.008114392,0.013525127,0.1,FALSE,440.1692989,0.759000033,0.006000012
300,3,0.000976257,0.01140471,0.5,FALSE,462.4393313,0.774000049,0.004000008
300,3,0.000983008,0.019877601,0.5,FALSE,457.9287531,0.482000008,0.068999991
300,4,3.17E-05,0.061236242,0.3,FALSE,604.0441687,0.410000011,0.003000006
300,3,0.000415451,0.097284055,0.4,FALSE,457.2592771,0.41050002,0.230500013
300,5,8.58E-05,0.00191421,0.4,FALSE,750.4613414,0.41050002,0.003500015
300,3,0.000600057,0.002408988,0.5,FALSE,457.2127781,0.771000028,0.004999995
300,3,0.000144985,0.011170668,0.3,FALSE,5582.863609,0.749500006,0.000499994300,4,0.0002506798220067675,0.02716962236990927,0.30000000000000004,False,7277.077595710754,0.671999990940094,0.0059999823570251465
300,3,2.2237291487771976e-05,0.041954518202642614,0.30000000000000004,False,5409.518572568893,0.41200000047683716,0.0009999871253967285
200,3,6.226752915115093e-05,0.008183849102617213,0.30000000000000004,False,327.9836382865906,0.6595000326633453,0.020499974489212036
200,4,1.5346297704487376e-05,0.07495932464402175,0.4,False,431.60551929473877,0.4100000262260437,0.025000005960464478
200,3,4.428738106703888e-05,0.0434238330099697,0.4,False,325.17380952835083,0.5585000216960907,0.08750000596046448
200,3,0.00039724885953030766,0.015308754221449023,0.5,False,325.32334780693054,0.7570000290870667,0.0009999871253967285
200,5,0.0005547392124718598,0.0016711742656773858,0.30000000000000004,False,531.2710201740265,0.7675000429153442,0.008499979972839355
200,5,2.9254152340844693e-05,0.00517576844564017,0.30000000000000004,False,532.2457749843597,0.5635000169277191,0.05550000071525574
200,5,0.00010960038383392018,0.0959129591359577,0.5,False,531.23020195961,0.4855000376701355,0.06150001287460327
200,4,1.2681505147112768e-05,0.0023999813100166966,0.5,False,427.7882311344147,0.281000018119812,0.062000006437301636
200,4,1.7845319708858687e-05,0.0010184347796941562,0.30000000000000004,False,427.30905652046204,0.5845000445842743,0.028499990701675415
200,3,5.88035439610726e-05,0.019596654236174217,0.30000000000000004,False,327.0048990249634,0.6415000259876251,0.056499987840652466
200,4,3.235469098775816e-05,0.00275853524089033,0.4,False,428.25940775871277,0.5035000294446945,0.06650002300739288
200,4,0.0006151380456344042,0.007529099303283783,0.4,False,428.7165639400482,0.7850000262260437,0.0
200,5,0.0003278354096521956,0.008870322248788944,0.30000000000000004,False,530.1561751365662,0.7470000386238098,0.009000003337860107
200,5,1.5364170363839596e-05,0.002581095238477226,0.5,False,535.4625849723816,0.2680000141263008,0.06199999898672104
200,5,3.119451851316106e-05,0.0015350008271210337,0.4,False,534.1893546581268,0.5555000007152557,0.027500003576278687
200,5,6.353085112560402e-05,0.006103940148319914,0.4,False,530.2626326084137,0.6185000240802765,0.09650000929832458
200,4,1.0721924264219177e-05,0.009323574898954752,0.5,False,429.6996166706085,0.4385000169277191,0.031500011682510376
200,3,0.00026217777320075087,0.003194191465801872,0.4,False,324.58955550193787,0.7570000290870667,0.013000011444091797
200,4,0.00019859294068300904,0.004880295061701064,0.5,False,428.8275535106659,0.7180000245571136,0.010000020265579224
200,4,8.636387127986321e-05,0.002317886972698615,0.5,False,428.42949867248535,0.6220000386238098,0.017000019550323486
200,4,5.376126667494577e-05,0.006130188162675483,0.30000000000000004,False,429.4680128097534,0.6655000448226929,0.03949999809265137
200,3,1.4639762308893027e-05,0.0037053425623528487,0.4,False,324.5235412120819,0.5260000228881836,0.0
200,3,5.113083212433468e-05,0.008280063050452568,0.5,False,325.5414471626282,0.5490000247955322,0.07499998807907104
200,5,0.00021553153293725924,0.0017683115271186283,0.4,False,530.570549249649,0.7350000143051147,0.02799999713897705
200,3,0.0008453936687021265,0.0012975477251504083,0.4,False,324.47712087631226,0.7600000500679016,0.0040000081062316895
200,3,2.3490902556895416e-05,0.004740283473402755,0.30000000000000004,False,325.655246257782,0.5320000350475311,0.025999993085861206
200,4,0.00019864451513719296,0.0017959722231362272,0.30000000000000004,False,427.8503096103668,0.7390000522136688,0.011000007390975952
200,5,0.00048039504100789207,0.03915016235652485,0.5,False,529.9026062488556,0.7330000400543213,0.013999998569488525
200,4,5.83149624473894e-05,0.0026707093163246486,0.5,False,425.5992479324341,0.31050001829862595,0.11750001460313797
200,5,0.0009394580412425453,0.012368823968094652,0.4,False,530.553388595581,0.7645000219345093,0.0015000104904174805
200,3,0.00015495530148175595,0.011881732306200493,0.4,False,323.53881454467773,0.710500031709671,0.024499982595443726
200,3,8.763215861405667e-05,0.006012400415564521,0.5,False,406.31950187683105,0.6860000491142273,0.023000001907348633
