lr,reg,time,accuracy_mean,accuracy_std
0.1,0.1,141.74443674087524,0.6306666930516561,0.11726417944057627
0.1,0.010000000000000002,153.63376212120056,0.7720000545183817,0.01849324886755746
0.1,0.0010000000000000002,127.30570101737976,0.7756667137145996,0.0016996785639358859
0.1,0.00010000000000000002,138.90119981765747,0.7693333824475607,0.0028674533408031507
0.010000000000000002,0.1,136.7543821334839,0.780666708946228,0.004784227141070617
0.010000000000000002,0.010000000000000002,113.03589725494385,0.7826667229334513,0.003681788171342217
0.010000000000000002,0.0010000000000000002,117.13814187049866,0.7740000287691752,0.005887839011809073
0.010000000000000002,0.00010000000000000002,120.62393116950989,0.7710000475247701,0.0028284469056670913
0.0010000000000000002,0.1,227.0087490081787,0.6920000116030375,0.08695976830873361
0.0010000000000000002,0.010000000000000002,320.4048750400543,0.777666707833608,0.0020548039972922458
0.0010000000000000002,0.0010000000000000002,180.39499354362488,0.7396667003631592,0.026411260741665932
0.0010000000000000002,0.00010000000000000002,167.77480578422546,0.7286667029062907,0.03276515724318432
0.00010000000000000002,0.1,54.66958165168762,0.3330000142256419,0.10822507910452037
0.00010000000000000002,0.010000000000000002,538.8208758831024,0.6983333428700765,0.02245489594547138
0.00010000000000000002,0.0010000000000000002,804.8520884513855,0.7086667021115621,0.016819303863567
0.00010000000000000002,0.00010000000000000002,355.2163383960724,0.4316666821638743,0.21351399195059337
