nepoch,nlayer,lr,reg,dropout,verbose,time,accuracy_mean,accuracy_std
300,5,0.001021827,0.003028199,0.5,FALSE,877.2542279,0.739000052,0.030000001
300,3,0.000475642,0.001957193,0.2,FALSE,513.5999799,0.735000044,0.011999995
300,4,8.34E-05,0.011431741,0.6,FALSE,678.9253273,0.29550001,0.020500004
300,3,1.34E-05,0.076911328,0.2,FALSE,509.6866128,0.145500004,0.011500001
300,5,1.08E-05,0.291242645,0.5,FALSE,830.8251274,0.131500006,0.011500001
300,3,0.000221329,0.206247372,0.2,FALSE,503.7855625,0.654000044,0.009000003
300,3,0.002585178,0.004199774,0.6,FALSE,505.2531099,0.764000028,0.003999978
300,5,3.71E-05,0.231485667,0.5,FALSE,814.0745406,0.115500007,0.001499999
300,2,8.69E-05,0.009918225,0.2,FALSE,332.8236668,0.66900003,0
300,3,4.11E-05,0.083675274,0.4,FALSE,496.7849512,0.180000015,0.004000001
300,3,0.00080763,0.009075729,0.6,FALSE,515.1081831,0.751000047,0.018999994
300,5,0.003823922,0.016741438,0.3,FALSE,846.3789907,0.75150004,0.003500015
300,1,0.001473444,0.0027833,0.2,FALSE,179.1409557,0.735500038,0.002499998
300,5,4.50E-05,0.008115186,0.2,FALSE,825.6798697,0.472500011,0.032499984
300,2,0.002127695,0.001877539,0.1,FALSE,336.0913465,0.747500032,0.001499981
300,5,0.000450083,0.073979585,0.2,FALSE,817.7507565,0.731000036,0.016000003
300,2,0.000112499,0.026178725,0.2,FALSE,336.0408845,0.663000047,0.004999995
300,2,0.003495125,0.011586099,0.5,FALSE,334.5173225,0.783500046,0.009499997
300,3,0.000368544,0.001066647,0.6,FALSE,494.4141932,0.727000058,0.004999995
300,4,0.007905312,0.003745904,0.1,FALSE,653.5662522,0.778000057,0.004999995
300,2,1.68E-05,0.126351285,0.6,FALSE,332.4489524,0.099500004,0.0055
300,4,0.00610362,0.012008035,0.4,FALSE,653.9738591,0.742500037,0.031500012
300,2,0.006952246,0.272684063,0.1,FALSE,333.6498275,0.575500041,0.036500007
300,5,0.000202613,0.002848296,0.3,FALSE,1469.049702,0.694499999,0.012500018
300,5,4.06E-05,0.033480306,0.5,FALSE,1460.950694,0.145500004,0.0035
300,2,0.000733247,0.294076569,0.6,FALSE,593.2731862,0.736000001,0.000999987
300,5,3.38E-05,0.027544399,0.3,FALSE,1464.260598,0.263499998,0.058499999
300,1,0.005577364,0.009876442,0.1,FALSE,306.1302381,0.756500006,0.005500019
300,4,1.88E-05,0.001150638,0.2,FALSE,1172.756811,0.36999999,0.019999996
300,4,0.004261836,0.230209321,0.2,FALSE,1167.639473,0.448499992,0.075499997
300,4,0.003473194,0.070256961,0.1,FALSE,1176.304043,0.798000008,0.01000002
300,4,2.50E-05,0.017389139,0.4,FALSE,1165.983535,0.138999999,0.045000002
300,4,0.00169503,0.030754538,0.4,FALSE,1330.625527,0.769499987,0.00850001
300,5,0.00010746,0.001923461,0.3,FALSE,1610.992353,0.627499998,0.037500024
300,2,0.003119317,0.005087692,0.5,FALSE,644.2350783,0.787,0.008000016
300,2,0.007950551,0.018967003,0.4,FALSE,650.441623,0.77700001,0.004999995300,4,0.0010395078483074532,0.029060468563401793,0.30000000000000004,False,1292.9484939575195,0.7654999792575836,0.009499996900558472
300,1,2.147575299923133e-05,0.006935177394239282,0.30000000000000004,False,333.9202768802643,0.2070000022649765,0.04999999701976776
300,5,0.00014645330603251148,0.11703307273010206,0.30000000000000004,False,1607.8391528129578,0.33650000393390656,0.12849999964237213
300,3,0.0007401155065749812,0.0030082933183008215,0.30000000000000004,False,962.1799433231354,0.7709999978542328,0.010000020265579224
300,4,0.000333569260610745,0.08458067917085685,0.2,False,1280.9835257530212,0.7254999876022339,0.0034999847412109375
300,2,0.0007118345655749488,0.15596708304262197,0.5,False,388.45281410217285,0.7850000560283661,0.020999997854232788
300,2,2.4284920709475864e-05,0.08178435943413281,0.30000000000000004,False,371.03385376930237,0.19100001454353333,0.052000001072883606
300,1,0.0008219443707314591,0.10386479210174519,0.6000000000000001,False,193.45086693763733,0.7595000267028809,0.00550001859664917
300,5,0.001892902587419814,0.024062553291393105,0.4,False,859.7083494663239,0.7615000605583191,0.020500004291534424
300,5,0.003744228372328447,0.0917107375233502,0.6000000000000001,False,843.885495185852,0.32100000977516174,0.0020000040531158447
300,3,0.0031120131715791323,0.02644114892074676,0.6000000000000001,False,545.3511219024658,0.7990000545978546,0.006999999284744263
300,4,0.004282454952965892,0.05648396170400183,0.30000000000000004,False,694.1837441921234,0.776000052690506,0.0029999911785125732
300,4,3.25650050443353e-05,0.0012169618035266486,0.6000000000000001,False,711.1027359962463,0.13200000673532486,0.028000004589557648
300,2,5.401102595423842e-05,0.03956849847321718,0.30000000000000004,False,371.4811842441559,0.6495000422000885,0.019499987363815308
