reg,dropout,time,accuracy_mean,accuracy_std
0.1,0.1,1852.856204509735,0.7777999997138977,0.012812501073335912
0.1,0.2,1905.6417887210846,0.7825999975204467,0.006858566407542662
0.1,0.3,1960.1244266033173,0.7703999876976013,0.009002232643417206
0.1,0.4,1910.2368335723877,0.7739999890327454,0.011153466937000868
0.1,0.5,1878.7711219787598,0.7625999927520752,0.04492481004508578
0.07,0.1,1912.0919682979584,0.7822000026702881,0.006112287886678171
0.07,0.2,1888.1671500205994,0.7820000052452087,0.01556920588380643
0.07,0.3,1892.8111498355865,0.7750000119209289,0.010119280746900258
0.07,0.4,1891.8500111103058,0.7754000067710877,0.016107141720983636
0.07,0.5,1915.8835589885712,0.7910000085830688,0.01684042663628122
0.05,0.1,1884.2098803520203,0.7858000040054322,0.007304785066841317
0.05,0.2,1873.7585618495941,0.7850000023841858,0.011966619587828319
0.05,0.3,1803.9609446525574,0.7681999921798706,0.018583860896657783
0.05,0.4,1652.7349631786346,0.7689999938011169,0.008966602272976186
0.05,0.5,1647.2879645824432,0.7758000016212463,0.006112273454302099
0.03,0.1,1657.0363328456879,0.7856000065803528,0.008639454069918923
0.03,0.2,1656.7976791858673,0.7730000019073486,0.008197553958338528
0.03,0.3,1659.521388053894,0.7710000038146972,0.013084343703966212
0.03,0.4,1656.7867305278778,0.7796000003814697,0.0073375755917209715
0.03,0.5,1658.227231502533,0.7895999908447265,0.006711193854153187
0.01,0.1,1685.7943086624146,0.776800012588501,0.009368039929431929
0.1,0.1,1076.8961563110352,0.7823333342870077,0.019189113550479767
0.1,0.2,1043.6704132556915,0.7729999820391337,0.005887839011809073
0.1,0.3,1006.2736666202545,0.7836666703224182,0.005557760593698414
0.1,0.4,1009.9352979660034,0.7899999817212423,0.0086023369260713
0.1,0.5,1006.7070763111115,0.7759999831517538,0.007257188215125575
0.07,0.1,1009.2717890739441,0.7773333191871643,0.017441967494051365
0.07,0.2,1013.8328013420105,0.7876666585604349,0.01388844015711769
0.07,0.3,1017.8034048080444,0.7820000052452087,0.0035590249229057913
0.07,0.4,1038.1029567718506,0.7870000004768372,0.011575816594909546
0.07,0.5,1023.2754006385803,0.7823333342870077,0.01388846018490892
0.05,0.1,1026.1058731079102,0.778333326180776,0.0009427969032896923
0.05,0.2,1030.8584010601044,0.7753333250681559,0.008178558689505434
0.05,0.3,1034.8879594802856,0.7796666423479716,0.011025227627912854
0.01,0.1,1050.0215203762054,0.7860000133514404,0.0037416570044649716
0.01,0.2,1051.9470355510712,0.7826666633288065,0.00464278339125849
0.01,0.3,1091.8737959861755,0.7746666669845581,0.014197027307781048
0.01,0.4,1171.674256324768,0.7693333228429159,0.012498902777110039
0.01,0.5,1185.1958038806915,0.7680000066757202,0.0077888776169972
0.005,0.1,1194.8098032474518,0.7690000136693319,0.009092126445761618
0.005,0.2,1196.1629881858826,0.7900000015894572,0.011575844056550275
0.005,0.3,1196.1706895828247,0.768666664759318,0.008806578424014196
0.005,0.4,1149.1233355998993,0.7736666599909464,0.005185467261790329
0.005,0.5,1060.2875967025757,0.7723333239555359,0.008055372085540299
