nepcoh,nlayer,lr,reg,dropout,verbose,residual,time,mean,std
200,4,0.00342178,0.150619365,0.3,FALSE,TRUE,52.89208603,0.783500046,0.003500015
200,3,0.019772918,0.130149097,0.2,FALSE,TRUE,29.00531578,0.783500016,0.007499993
200,4,0.002647278,0.022254911,0.1,FALSE,TRUE,37.38561225,0.800000042,0.006000012
200,4,0.000656845,0.099619247,0.1,FALSE,TRUE,37.45447874,0.779000014,0.006999999
200,4,0.00382625,0.162329271,0.1,FALSE,TRUE,37.2826643,0.801000029,0.006999999
200,2,0.004768853,0.22710691,0.3,FALSE,TRUE,20.52681804,0.802500039,0.002500027
200,2,0.003369852,0.042627079,0.3,FALSE,TRUE,20.46136189,0.802500039,0.000499994
200,5,0.002712156,0.150808093,0.5,FALSE,TRUE,45.76622128,0.624500036,0.105499983
200,2,0.002423032,0.0336883,0.3,FALSE,TRUE,20.51907492,0.805500031,0.00150001
200,4,0.011462052,0.259709067,0.1,FALSE,TRUE,37.3068161,0.802000046,0.009000003
200,4,0.004308552,0.040733643,0.4,FALSE,TRUE,37.54345012,0.791500032,0.006500006
200,2,0.015886189,0.190578242,0.3,FALSE,TRUE,20.61866522,0.783000052,0.00999999
200,4,0.000982858,0.058065041,0.2,FALSE,TRUE,37.45603824,0.80400002,0.018999994
200,4,0.002900456,0.029775258,0.1,FALSE,TRUE,37.40451813,0.79550001,0.004500002
200,5,0.009082613,0.031869466,0.3,FALSE,TRUE,45.67159462,0.803000033,0.018000007
200,5,0.001542009,0.057272547,0.3,FALSE,TRUE,45.8354919,0.794500023,0.003500015
200,5,0.000869716,0.104865012,0.1,FALSE,TRUE,45.78255677,0.802500039,0.020499974
200,4,0.002324374,0.145324738,0.4,FALSE,TRUE,37.35095143,0.78550002,0.000499994
200,4,0.004933338,0.443855541,0.1,FALSE,TRUE,37.38381815,0.783000022,0.002999991
200,2,0.015953575,0.035892993,0.3,FALSE,TRUE,20.33199739,0.802500039,0.001499981
200,3,0.007662286,0.14847203,0.1,FALSE,TRUE,28.83915281,0.800500035,0.00150001
200,5,0.000565607,0.025057992,0.2,FALSE,TRUE,45.90736294,0.797500044,0.000499994
200,5,0.000817265,0.064816773,0.3,FALSE,TRUE,45.94908333,0.727500051,0.041500002
200,2,0.000575498,0.100951072,0.5,FALSE,TRUE,20.77946758,0.796000063,0.023000002
200,2,0.007210274,0.060526967,0.4,FALSE,TRUE,20.45594215,0.813000053,0.002000004
200,3,0.001501963,0.039120678,0.5,FALSE,TRUE,29.055197,0.78550002,0.005499989
200,2,0.002828555,0.030818087,0.4,FALSE,TRUE,20.48928022,0.779500037,0.001499981
200,5,0.017187527,0.033564111,0.4,FALSE,TRUE,45.5808475,0.713500023,0.011500001
200,5,0.011333227,0.012906445,0.3,FALSE,TRUE,45.64801741,0.79550004,0.013499975
200,5,0.01458232,0.019527431,0.5,FALSE,TRUE,45.60154891,0.646500021,0.005499989
200,4,0.015797115,0.019399702,0.4,FALSE,TRUE,37.26820612,0.749500036,0.005500019
200,2,0.000537672,0.168792072,0.4,FALSE,TRUE,20.73565412,0.79550004,0.003499985
200,5,0.008534462,0.017141826,0.2,FALSE,TRUE,45.59387803,0.800000042,0.003999978
200,4,0.003445408,0.01575951,0.4,FALSE,TRUE,37.3192327,0.807500035,0.003500015
200,2,0.000860796,0.012421557,0.4,FALSE,TRUE,20.56647348,0.799500048,0.002499998
200,2,0.004594641,0.382798782,0.4,FALSE,TRUE,20.52101946,0.79400003,0.000999987
200,4,0.013713974,0.427408963,0.1,FALSE,TRUE,37.22759199,0.653000027,0.002999991
200,4,0.007279294,0.139313304,0.4,FALSE,TRUE,37.28166699,0.776000023,0.008000016
200,3,0.013227942,0.185379875,0.5,FALSE,TRUE,28.96662331,0.75000003,0.020999998
200,5,0.001797521,0.090971306,0.3,FALSE,TRUE,45.88354754,0.787500024,0.00150001
200,5,0.019788751,0.159801006,0.3,FALSE,TRUE,45.90421438,0.583000034,0.002999991
200,5,0.011720247,0.221497533,0.3,FALSE,TRUE,45.81806302,0.645500004,0.048500001
200,3,0.005394535,0.118123134,0.4,FALSE,TRUE,28.99894905,0.793500036,0.005499989
200,4,0.005925237,0.018816079,0.5,FALSE,TRUE,37.39372993,0.803000033,0.004000008
200,2,0.00201094,0.105461707,0.2,FALSE,TRUE,20.57259107,0.804500043,0.006500006
200,3,0.003067043,0.010574692,0.4,FALSE,TRUE,29.02581477,0.801500022,0.00150001
200,2,0.01160841,0.011297455,0.5,FALSE,TRUE,20.57415652,0.780500025,0.017500013
200,5,0.003079606,0.016926786,0.3,FALSE,TRUE,45.83988333,0.807500035,0.00850001
200,2,0.003592526,0.16060369,0.3,FALSE,TRUE,20.63791442,0.802000046,0.004000008
200,3,0.003920229,0.085175521,0.3,FALSE,TRUE,29.02664399,0.808500051,0.002499998
200,2,0.000987457,0.138260699,0.2,FALSE,TRUE,20.60140347,0.808000028,0.000999987
200,4,0.001218288,0.040196957,0.1,FALSE,TRUE,37.33938575,0.802500039,0.000499994
200,5,0.00131132,0.01334217,0.3,FALSE,TRUE,46.00881648,0.796500057,0.000499994
200,3,0.009069894,0.226413735,0.2,FALSE,TRUE,28.97205901,0.803500056,0.011500001
200,4,0.010140904,0.036275134,0.1,FALSE,TRUE,37.29997015,0.799500018,0.009499997
200,4,0.008821078,0.077436663,0.1,FALSE,TRUE,37.32410407,0.806500047,0.005499989
200,4,0.002881984,0.03106344,0.5,FALSE,TRUE,37.49111748,0.789500058,0.007499993
200,5,0.000708499,0.065370736,0.5,FALSE,TRUE,46.04876423,0.661500037,0.003499985
200,3,0.000882189,0.159540648,0.4,FALSE,TRUE,29.19235635,0.775000036,0.036000013
200,2,0.006185059,0.138648698,0.5,FALSE,TRUE,20.56488538,0.798000038,0.015999973
200,4,0.001114434,0.097844582,0.4,FALSE,TRUE,37.47823644,0.767500043,0.021499991
200,5,0.001438063,0.056234288,0.1,FALSE,TRUE,45.76272559,0.788000047,0.004000008
200,4,0.000817793,0.028640213,0.5,FALSE,TRUE,37.56915808,0.698500037,0.007499993
200,5,0.019456542,0.045301746,0.2,FALSE,TRUE,45.60230994,0.741000056,0.004999995
200,5,0.017817692,0.149688142,0.4,FALSE,TRUE,45.63746071,0.524000019,0.024000019
200,5,0.000999608,0.087042052,0.4,FALSE,TRUE,45.92764807,0.727000028,0.024000019
200,5,0.001366069,0.030555063,0.2,FALSE,TRUE,45.83524036,0.800000042,0.001000017
200,3,0.005183852,0.043052149,0.3,FALSE,TRUE,28.95106316,0.810000032,0.002000004
200,5,0.013205026,0.085986056,0.5,FALSE,TRUE,45.63845658,0.715500057,0.016499996
200,4,0.017151536,0.069087022,0.2,FALSE,TRUE,37.34496498,0.806000024,0.015000015
200,4,0.00515691,0.011519724,0.3,FALSE,TRUE,37.34530878,0.810000032,0.006999999
200,4,0.001772819,0.010990739,0.1,FALSE,TRUE,37.31575394,0.787500024,0.002499998
200,5,0.001505663,0.018195796,0.5,FALSE,TRUE,45.91094017,0.731000036,0.008999974
200,4,0.016726142,0.491038136,0.3,FALSE,TRUE,37.33745885,0.435500026,0.037499994
200,5,0.012913881,0.399009412,0.2,FALSE,TRUE,45.62842846,0.511500001,0.006500006
200,4,0.002766523,0.031636887,0.4,FALSE,TRUE,37.47064328,0.803500026,0.013500005
200,4,0.011831079,0.402919768,0.2,FALSE,TRUE,37.30972528,0.587500036,0.031499982
200,2,0.00125893,0.022703395,0.3,FALSE,TRUE,20.7581203,0.792500049,0.009499997
200,4,0.005127608,0.038003584,0.3,FALSE,TRUE,37.36724234,0.799500018,0.004500002
200,4,0.011960145,0.029480395,0.4,FALSE,TRUE,37.4205699,0.78550002,0.022500008
200,4,0.007489568,0.216006238,0.5,FALSE,TRUE,37.36210537,0.656000018,0.02700001
200,5,0.003306773,0.051019043,0.4,FALSE,TRUE,45.8427577,0.798000038,0.000999987
200,4,0.003622288,0.225384176,0.4,FALSE,TRUE,37.46373677,0.764500052,0.013500005
200,3,0.001256687,0.104684293,0.2,FALSE,TRUE,29.02265596,0.795000017,0.004999995
200,3,0.011479967,0.099925562,0.5,FALSE,TRUE,28.88302279,0.773000032,0.002999991
200,3,0.001129359,0.1523968,0.1,FALSE,TRUE,28.98847246,0.799500048,0.006500006
200,4,0.003649351,0.068261917,0.5,FALSE,TRUE,37.48591423,0.803500056,0.011500001
200,4,0.001103211,0.27608768,0.3,FALSE,TRUE,37.52645183,0.700000018,0.043000013
200,4,0.000978931,0.160875525,0.4,FALSE,TRUE,37.5423305,0.717500031,0.075500011
