lr,reg,dropout,init_k,ndim,nlayer,time,accuracy_mean,accuracy_std
0.228209266,5.36E-06,0.4,16,256,6,544.6345801,0.512666663,0.149341523
0.000802307,1.45E-07,0.45,4,128,4,489.3348057,0.51,0.037665208
0.107464758,9.10E-08,0.35,8,64,5,194.0938063,0.506333321,0.017326911
0.068068622,0.165577101,0.3,8,128,3,85.09991908,0.499666661,0.045419026
0.000904,0.001037172,0.35,16,256,6,921.8220849,0.485333333,0.194328476
0.199429122,2.81E-07,0.3,8,64,6,239.1516829,0.466999998,0.012355842
0.029580824,0.12747202,0.3,4,64,4,71.581007,0.465000004,0.083118395
0.0012473,1.59E-06,0.3,8,64,4,199.5437114,0.460666656,0.137245117
0.57045096,0.003464995,0.5,16,64,1,23.14975595,0.429666668,0.012256514
0.002455291,4.84E-07,0.45,8,128,6,633.2693057,0.417333335,0.033826357
0.418467388,0.001624824,0.25,8,256,5,237.0712831,0.416333338,0.168224712
0.001079347,5.54E-07,0.5,4,64,3,190.4225273,0.40866667,0.056334325
0.00399641,2.60E-05,0.4,32,64,1,55.36651397,0.405666659,0.007133641
0.383621228,1.36E-08,0.25,16,128,6,223.3431118,0.403666665,0.121864207
0.00131829,2.56E-07,0.5,8,128,5,555.60887,0.389666667,0.040202263
0.738371521,0.000574432,0.35,32,64,1,24.96101356,0.377999991,0.043939353
4.72E-05,0.000907297,0.45,8,256,1,195.8058987,0.37666666,0.166153201
0.126320825,0.026964938,0.4,32,128,2,116.9421415,0.371999999,0.022905601
0.252235707,0.000266758,0.4,32,128,2,66.21635461,0.367666662,0.082309721
0.004956952,5.48E-08,0.35,32,256,6,743.7574477,0.357333332,0.134090349
0.012315859,0.101545784,0.1,32,128,5,308.5107348,0.332999994,0.022759611
3.81E-05,4.44E-08,0.05,8,128,3,237.0138521,0.325666671,0.196027781
0.397247942,0.149075137,0.05,32,64,6,72.00248885,0.319000006,0
0.212777347,2.45E-07,0.05,32,128,6,91.04442883,0.317999999,0.000816498
