nlayer,dropout,time,accuracy_mean,accuracy_std
1,0.2,44.840795040130615,0.7881999969482422,0.012073105068284842
1,0.30000000000000004,47.653369188308716,0.7902000069618225,0.007426979660323478
1,0.4,48.84668564796448,0.788400000333786,0.01105622307498496
1,0.5,51.50422525405884,0.7883000016212464,0.009066972065328884
1,0.6000000000000001,61.45080327987671,0.7813000082969666,0.007563739267767141
1,0.7,76.44410109519958,0.7659000039100647,0.010958557812879651
2,0.2,89.31599998474121,0.8064000070095062,0.005180735639185632
2,0.30000000000000004,93.78168439865112,0.8093999981880188,0.007618394426890084
2,0.4,102.09953093528748,0.8068999946117401,0.007608547948125459
2,0.5,118.85926556587219,0.8034999966621399,0.0083934543208358
2,0.6000000000000001,145.0722963809967,0.7922000169754029,0.008195124961090849
