lr,reg,time,accuracy_mean,accuracy_std
0.01,0.1,404.54598689079285,0.801199996471405,0.010176444739807592
0.01,0.010000000000000002,451.89455580711365,0.7959000051021576,0.008336058282959321
0.01,0.0010000000000000002,415.3356873989105,0.7957000017166138,0.012083457953418746
0.01,0.00010000000000000002,495.88985991477966,0.7919000029563904,0.008383921893302622
0.01,1.0000000000000003e-05,488.93623757362366,0.7932999968528748,0.009778043063536059
0.03,0.1,402.2143611907959,0.7797000050544739,0.011358253675118772
0.03,0.010000000000000002,343.0510838031769,0.7899999976158142,0.015543493189465232
0.03,0.0010000000000000002,410.7722501754761,0.7857000052928924,0.01161078021001094
0.03,0.00010000000000000002,412.00900387763977,0.7929000139236451,0.005048762745904213
0.03,1.0000000000000003e-05,357.98583698272705,0.7989999949932098,0.009581233340741489
0.05,0.1,346.00993967056274,0.7625,0.021546459412531475
0.05,0.010000000000000002,375.3277177810669,0.7924000024795532,0.010101486687739887
0.05,0.0010000000000000002,371.3538293838501,0.7929999947547912,0.011278302102890634
0.05,0.00010000000000000002,407.54600834846497,0.7905999958515167,0.013727348780515418
0.05,1.0000000000000003e-05,480.5638360977173,0.7860000014305115,0.012173744138466502
0.06999999999999999,0.1,369.5635952949524,0.710099995136261,0.06876837830970724
0.06999999999999999,0.010000000000000002,327.0467441082001,0.7873999953269959,0.023204314817194316
0.06999999999999999,0.0010000000000000002,445.5580840110779,0.7920999944210052,0.016549615292248476
0.06999999999999999,0.00010000000000000002,502.5820128917694,0.7781000018119812,0.018683948374808107
0.06999999999999999,1.0000000000000003e-05,496.48571395874023,0.7947000026702881,0.009132914016215948
0.09,0.1,416.0531978607178,0.7105000078678131,0.024109118125871312
0.09,0.010000000000000002,392.4764771461487,0.7646000146865845,0.033791134070747526
0.09,0.0010000000000000002,462.6316955089569,0.78510000705719,0.01955735647230193
0.09,0.00010000000000000002,409.74907970428467,0.7638999998569489,0.040871634242810505
0.09,1.0000000000000003e-05,443.75639939308167,0.788400000333786,0.012297976579408856
0.001,0.1,1125.2194821834564,0.7877000033855438,0.007430341066665364
0.001,0.010000000000000002,1089.607162475586,0.7860999941825867,0.008949301852281521
0.001,0.0010000000000000002,912.3553812503815,0.7683999955654144,0.010873822872441881
0.001,0.00010000000000000002,875.2849814891815,0.7705999970436096,0.011253441829204581
0.001,1.0000000000000003e-05,977.7392213344574,0.7746999979019165,0.009209231719536632
