nlayer,nepoch,lr,reg,dropout,verbose,time,accuracy_mean,accuracy_std
1,300,0.001,0.07,0.5,False,424.37023878097534,0.6789999902248383,0.006999999284744263
2,300,0.001,0.07,0.5,False,806.50519323349,0.6629999876022339,0.0
3,300,0.001,0.07,0.5,False,1192.9300391674042,0.6494999825954437,0.004500001668930054
4,300,0.001,0.07,0.5,False,1561.505883693695,0.6565000116825104,0.003500014543533325
