reg,dropout,time,accuracy_mean,accuracy_std
0.1,0.1,1211.082897901535,0.649999996026357,0.00927361050847369
0.1,0.2,1209.3471932411194,0.6656666795412699,0.01327487603717116
0.1,0.3,1209.486224412918,0.6566666563351949,0.009428109522391958
0.1,0.4,1180.143245458603,0.6439999938011169,0.0045460501116126135
0.1,0.5,1178.806367635727,0.659000019232432,0.005887839011809074
0.1,0.6,1189.1939160823822,0.6383333404858907,0.024904281146985088
0.07,0.1,1203.0227251052856,0.6496666669845581,0.007318184131460328
0.07,0.2,1185.413955450058,0.6426666577657064,0.00917724947540942
0.07,0.3,1190.260882139206,0.6526666879653931,0.012710457904598625
0.07,0.4,1187.741441488266,0.6486666599909464,0.004189928505164566
0.07,0.5,1193.162591934204,0.649999996026357,0.0037416357644497896
0.07,0.6,1196.2307131290436,0.6393333276112875,0.004496903225205846
0.05,0.1,1187.233178138733,0.6636666655540466,0.011728413473535336
0.05,0.2,1183.1340289115906,0.6386666695276896,0.004988860075935316
0.05,0.3,1194.232919216156,0.640666663646698,0.020499335110234017
0.05,0.4,1189.7172532081604,0.6513333320617676,0.01481740055848718
0.05,0.5,1195.1156973838806,0.653000017007192,0.0021602466787431
0.05,0.6,1182.3719191551208,0.6636666854222616,0.015326084541664998
0.03,0.1,1189.9749462604523,0.6326666474342346,0.006018486269468349
0.03,0.2,1181.2388541698456,0.6586666703224182,0.005436506460728965
0.1,0.1,344.3802921772003,0.6203333536783854,0.011897715435799698
0.1,0.2,343.44230818748474,0.6426666975021362,0.010656255628215676
0.1,0.3,338.7047803401947,0.6453333695729574,0.01388846018490892
0.1,0.4,336.7030746936798,0.6540000240008036,0.019304572724254055
0.1,0.5,337.4620130062103,0.6656667192776998,0.011323527937566281
0.07,0.1,338.5347378253937,0.6513333519299825,0.014704501920076314
0.07,0.2,337.81740260124207,0.6413333415985107,0.011614174308478801
0.07,0.3,336.41590428352356,0.6516666809717814,0.004109604771477557
0.07,0.4,337.54302072525024,0.6500000158945719,0.0016329964712711142
0.07,0.5,336.9267852306366,0.6563333670298258,0.0033993298525090113
0.05,0.1,337.28843784332275,0.6360000371932983,0.0037416570044649716
0.05,0.2,335.7272481918335,0.6506667137145996,0.007930250453335234
0.05,0.3,337.1608016490936,0.6520000298817953,0.012355832228344039
0.05,0.4,336.9568181037903,0.6410000125567118,0.01306394743619867
0.05,0.5,335.69137263298035,0.6516667008399963,0.008178579743475028
0.03,0.1,336.92520117759705,0.6393333673477173,0.011897729908430498
0.03,0.2,338.45922923088074,0.6543333729108175,0.012256505635704438
0.03,0.3,337.6635594367981,0.6600000262260437,0.010984825027396691
0.03,0.4,339.0506043434143,0.6620000203450521,0.016083112975408848
