nlayer,dropout,time,accuracy_mean,accuracy_std
1,0.3,15.613460302352905,0.6733333865801493,0.0098432110997197
1,0.35,11.55135726928711,0.6843333840370178,0.006236089697418985
1,0.4,11.524710893630981,0.6890000303586324,0.008831748394366975
1,0.45,13.901774406433105,0.6813333630561829,0.004714040712246475
1,0.5,13.340940237045288,0.690000037352244,0.006683300827160764
1,0.55,11.938051700592041,0.6890000303586324,0.005099008416442664
1,0.6000000000000001,13.470155239105225,0.6763333678245544,0.004109630555878041
2,0.3,23.41273808479309,0.703000028928121,0.005715475482507485
2,0.35,25.863622188568115,0.7013333638509115,0.01111554025323151
2,0.4,24.430786848068237,0.7133333881696066,0.006944230092454459
2,0.45,23.210425853729248,0.706000010172526,0.0021602466787431
2,0.5,24.154401302337646,0.7113333741823832,0.002357048454022245
2,0.55,24.36885952949524,0.7066666881243387,0.012283671271191447
2,0.6000000000000001,22.85155963897705,0.7023333708445231,0.0117284038740842
3,0.3,34.207236528396606,0.7106666763623556,0.004496910588858385
3,0.35,39.75084209442139,0.6966666976610819,0.011440666784064656
3,0.4,34.436110496520996,0.7253333727518717,0.008178558689505436
3,0.45,35.35595703125,0.7006667057673136,0.014727152685368868
3,0.5,35.61214566230774,0.7110000252723694,0.0064807400362293
3,0.55,36.165278911590576,0.6973333756128947,0.006798706462734902
3,0.6000000000000001,43.538047790527344,0.6963333686192831,0.005185467261790329
4,0.3,44.73420286178589,0.706000030040741,0.008981444091417249
4,0.35,44.290117502212524,0.7153333624204,0.0038586089643697272
4,0.4,45.09187602996826,0.7073333660761515,0.015923407124348674
4,0.45,45.056859731674194,0.7063333590825399,0.018873859873540014
4,0.5,46.205524921417236,0.7106667160987854,0.004027686042770149
4,0.55,54.97550821304321,0.7063333789507548,0.00478424513676968
4,0.6000000000000001,43.06890940666199,0.7070000370343527,0.01489965661696984
5,0.3,65.90898966789246,0.7146667043368021,0.011145487186383982
5,0.35,55.54681158065796,0.7156667113304138,0.004784227141070617
5,0.4,64.09667038917542,0.7173333764076233,0.01144066909957692
5,0.45,51.88594341278076,0.7320000529289246,0.0077888776169972
5,0.5,53.07028365135193,0.7176667054494222,0.010208919077577011
5,0.55,63.876442193984985,0.7116667032241821,0.006018486269468349
5,0.6000000000000001,52.95384645462036,0.7170000274976095,0.002943909382568646
6,0.3,68.57766008377075,0.7110000451405843,0.009092126445761618
6,0.35,67.36731696128845,0.7053333520889282,0.004784227141070617
6,0.4,79.75798463821411,0.7116666833559672,0.0038586089643697272
6,0.45,79.30856490135193,0.7203333775202433,0.006342091686568418
6,0.5,65.60753035545349,0.718666692574819,0.0020548039972922458
6,0.55,65.18017888069153,0.702666699886322,0.0028674279348812263
6,0.6000000000000001,66.52170991897583,0.7140000263849894,0.0021602466787431
